place_name,district_name,latitude,longitude,popularity_rating,average_temperature,type_of_place,best_visiting_month,short_description
Almora,Tehri Garhwal,30.8554,78.6028,3,25.7,Temple,March,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
Nainital,Almora,31.2957,80.0427,2,3.2,Adventure Spot,August,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est
Lansdowne,Haridwar,30.6058,78.7979,2,19.2,Lake,February,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla
Rishikesh,Uttarkashi,30.3818,78.7169,5,6.5,Trek,April,ante ipsum primis in faucibus orci luctus et ultrices posuere
Jim Corbett National Park,Tehri Garhwal,31.226,78.0635,4,8.2,Wildlife Sanctuary,August,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc
Almora,Haridwar,29.0328,78.7224,4,9.1,Hill Station,November,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio
Jim Corbett National Park,Almora,29.8805,80.1407,4,26.4,Adventure Spot,January,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris
Lansdowne,Pauri Garhwal,30.4707,77.9659,4,16.4,Temple,March,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
Haridwar,Haridwar,31.1029,78.09,3,4.3,Hill Station,May,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada
Auli,Dehradun,30.6777,79.0509,1,10.4,Trek,November,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum
Almora,Uttarkashi,29.2061,79.5612,1,22.2,Temple,July,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla
Mussoorie,Dehradun,29.08,78.3405,1,29.4,Hill Station,June,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
Jim Corbett National Park,Nainital,29.2963,78.1953,4,20.4,Lake,March,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
Nainital,Uttarkashi,29.5124,78.9532,1,10.1,Wildlife Sanctuary,July,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Lansdowne,Almora,29.4169,77.7598,3,12.6,Temple,October,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus
Rishikesh,Dehradun,29.7434,80.2477,1,19.9,Trek,February,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices
Chopta,Chamoli,29.8842,78.2713,4,11.3,Lake,November,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit
Haridwar,Pauri Garhwal,31.1138,79.5464,1,20.2,Lake,December,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus
Lansdowne,Almora,31.3963,78.6699,4,26.2,Adventure Spot,August,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
Lansdowne,Uttarkashi,29.2723,79.8642,2,24.9,Temple,February,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum
Lansdowne,Pauri Garhwal,31.4748,79.9371,2,1.1,Temple,January,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in
Rishikesh,Tehri Garhwal,29.0518,80.0173,4,21.3,Temple,May,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
Ranikhet,Nainital,30.1228,80.2836,5,25.3,Hill Station,October,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at
Ranikhet,Dehradun,30.5976,77.5132,2,17.6,Hill Station,August,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam
Nainital,Nainital,29.6865,80.3057,3,2.8,Hill Station,April,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed
Auli,Nainital,29.2084,79.585,4,10.0,Wildlife Sanctuary,January,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien
Ranikhet,Bageshwar,30.7363,78.8292,3,9.8,Temple,March,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla
Nainital,Bageshwar,29.0187,77.8285,1,3.5,Wildlife Sanctuary,April,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
Jim Corbett National Park,Uttarkashi,31.1347,78.1695,4,11.9,Trek,February,cras in purus eu magna vulputate luctus cum sociis natoque
Nainital,Bageshwar,31.1558,80.2627,2,22.7,Temple,July,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
Haridwar,Almora,30.9611,78.1466,4,17.4,Adventure Spot,July,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
Ranikhet,Uttarkashi,29.3039,79.7565,5,18.3,Hill Station,November,tempus semper est quam pharetra magna ac consequat metus sapien ut
Mussoorie,Chamoli,29.8342,79.8449,3,3.6,Lake,October,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum
Nainital,Uttarkashi,29.8928,77.8012,1,13.9,Adventure Spot,June,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh
Mussoorie,Chamoli,30.1522,78.6803,2,27.1,Wildlife Sanctuary,August,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
Nainital,Pauri Garhwal,30.3894,80.2375,5,12.8,Temple,December,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce
Jim Corbett National Park,Haridwar,29.3229,79.8567,4,13.5,Lake,March,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut
Nainital,Bageshwar,30.4745,79.5414,3,11.7,Wildlife Sanctuary,March,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
Auli,Nainital,29.0098,78.9332,4,6.6,Hill Station,October,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
Nainital,Chamoli,31.3615,78.8519,2,25.5,Temple,December,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat
Ranikhet,Dehradun,30.4956,77.6744,4,16.3,Lake,June,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
Almora,Bageshwar,29.4993,77.9748,3,13.5,Lake,May,porttitor pede justo eu massa donec dapibus duis at velit eu est congue
Jim Corbett National Park,Tehri Garhwal,29.636,79.9516,2,27.8,Trek,July,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
Almora,Nainital,29.2038,78.9562,5,20.1,Hill Station,January,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
Haridwar,Bageshwar,31.1479,78.021,2,3.6,Lake,March,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient
Lansdowne,Bageshwar,30.7812,80.3847,1,14.1,Hill Station,May,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida
Nainital,Chamoli,29.0333,78.2364,4,28.3,Lake,December,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
Jim Corbett National Park,Haridwar,30.1217,79.4337,3,16.9,Hill Station,September,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
Rishikesh,Uttarkashi,29.9196,79.0072,3,9.2,Trek,May,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
Nainital,Chamoli,31.0691,78.2762,3,20.6,Lake,September,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce
Rishikesh,Chamoli,30.9783,79.3934,5,25.2,Lake,May,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris
Lansdowne,Almora,30.2645,78.9577,1,7.3,Temple,March,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
Mussoorie,Uttarkashi,29.1164,80.1814,2,1.8,Adventure Spot,August,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a
Nainital,Chamoli,31.2356,79.5974,2,1.0,Trek,February,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
Jim Corbett National Park,Tehri Garhwal,29.0135,78.3097,3,5.0,Hill Station,March,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
Haridwar,Rudraprayag,30.0349,80.0224,3,22.2,Lake,May,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
Mussoorie,Rudraprayag,30.543,77.9014,3,13.5,Trek,July,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
Auli,Bageshwar,31.0723,77.8345,3,29.6,Wildlife Sanctuary,August,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
Almora,Nainital,29.222,79.2758,2,19.7,Temple,December,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
Rishikesh,Almora,30.8507,79.9793,4,12.1,Lake,August,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
Auli,Pauri Garhwal,30.1899,78.1107,4,26.0,Hill Station,December,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
Mussoorie,Rudraprayag,31.4262,80.2421,5,12.3,Trek,August,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis
Ranikhet,Pauri Garhwal,31.2803,78.6967,3,25.6,Trek,February,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec
Haridwar,Rudraprayag,29.5278,79.9074,5,13.6,Adventure Spot,April,donec semper sapien a libero nam dui proin leo odio porttitor
Auli,Uttarkashi,29.5002,79.6584,1,21.4,Hill Station,March,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis
Haridwar,Chamoli,31.2665,80.0986,5,6.6,Hill Station,April,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
Ranikhet,Almora,29.3648,79.9243,3,25.2,Trek,September,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate
Ranikhet,Nainital,30.0343,79.0587,4,27.4,Lake,May,lobortis est phasellus sit amet erat nulla tempus vivamus in felis
Nainital,Uttarkashi,31.4863,77.798,1,25.2,Adventure Spot,February,sapien a libero nam dui proin leo odio porttitor id consequat in
Rishikesh,Dehradun,31.3448,80.4402,1,21.8,Temple,March,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget
Haridwar,Chamoli,29.6291,78.9624,3,23.8,Wildlife Sanctuary,May,donec diam neque vestibulum eget vulputate ut ultrices vel augue
Auli,Pauri Garhwal,30.6443,77.6748,1,7.9,Temple,January,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy
Chopta,Tehri Garhwal,30.2635,79.2485,3,24.0,Hill Station,October,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
Auli,Tehri Garhwal,30.3757,78.9012,4,19.6,Trek,March,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
Nainital,Bageshwar,30.5656,77.6145,4,28.9,Trek,September,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien
Jim Corbett National Park,Nainital,29.9697,79.1466,4,21.3,Trek,May,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque
Chopta,Nainital,29.06,80.1555,5,22.0,Lake,August,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis
Chopta,Nainital,31.2851,77.6706,3,16.7,Lake,June,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
Chopta,Pauri Garhwal,30.9021,78.2478,1,11.2,Temple,August,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia
Auli,Nainital,29.1994,79.5522,1,7.5,Hill Station,September,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris
Lansdowne,Almora,30.1256,78.8274,1,21.5,Lake,February,non mi integer ac neque duis bibendum morbi non quam nec dui
Ranikhet,Pauri Garhwal,29.2801,79.2635,3,14.5,Adventure Spot,July,turpis donec posuere metus vitae ipsum aliquam non mauris morbi
Jim Corbett National Park,Almora,29.5342,77.8749,4,20.5,Adventure Spot,May,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut
Almora,Chamoli,30.8622,78.6764,5,8.4,Trek,September,amet eleifend pede libero quis orci nullam molestie nibh in lectus
Rishikesh,Uttarkashi,31.139,80.1579,5,3.2,Lake,December,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
Lansdowne,Tehri Garhwal,29.6286,80.3232,2,26.7,Trek,December,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio
Rishikesh,Haridwar,29.7719,78.157,4,3.1,Temple,January,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
Lansdowne,Pauri Garhwal,29.7606,80.1846,5,7.9,Lake,February,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
Nainital,Haridwar,30.4432,77.6483,2,6.6,Hill Station,June,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec
Rishikesh,Dehradun,29.0461,80.1316,5,3.4,Temple,August,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
Almora,Uttarkashi,29.0495,77.7818,4,16.8,Wildlife Sanctuary,June,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea
Mussoorie,Haridwar,30.2262,79.571,1,12.8,Hill Station,January,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
Ranikhet,Rudraprayag,29.8985,78.3655,1,20.9,Hill Station,September,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
Lansdowne,Almora,29.2146,79.0216,2,10.5,Hill Station,February,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar
Haridwar,Nainital,30.6179,77.9901,3,1.2,Temple,February,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit
Haridwar,Bageshwar,31.0627,79.3483,2,26.0,Temple,June,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
Auli,Rudraprayag,31.3292,79.0139,2,22.4,Trek,August,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
Rishikesh,Uttarkashi,31.1514,80.2315,5,27.0,Adventure Spot,July,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
Auli,Uttarkashi,31.4884,80.0229,4,4.9,Lake,March,amet sem fusce consequat nulla nisl nunc nisl duis bibendum
Lansdowne,Uttarkashi,30.9037,78.4415,4,5.9,Lake,July,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non
Ranikhet,Almora,29.5598,79.411,3,1.3,Trek,December,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in
Ranikhet,Tehri Garhwal,29.9323,78.5169,5,26.2,Adventure Spot,February,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
Ranikhet,Nainital,29.7258,79.1116,4,13.6,Wildlife Sanctuary,December,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
Chopta,Nainital,30.1747,79.4525,3,28.9,Trek,April,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
Lansdowne,Haridwar,29.5215,79.4076,2,9.8,Hill Station,October,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
Chopta,Tehri Garhwal,30.018,78.4379,5,0.1,Hill Station,February,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
Chopta,Bageshwar,30.3813,79.8189,2,6.1,Wildlife Sanctuary,October,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti
Rishikesh,Tehri Garhwal,29.4967,79.7106,3,27.2,Adventure Spot,November,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non
Haridwar,Rudraprayag,30.4412,79.8323,4,12.2,Trek,March,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui
Mussoorie,Chamoli,31.4299,79.1902,5,12.8,Lake,July,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
Nainital,Chamoli,30.2802,79.0664,5,2.4,Lake,October,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
Haridwar,Rudraprayag,29.1405,77.8402,3,19.6,Wildlife Sanctuary,June,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
Rishikesh,Chamoli,29.1307,80.4093,5,25.3,Hill Station,December,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus
Haridwar,Pauri Garhwal,31.1203,78.6987,5,1.4,Wildlife Sanctuary,September,sed magna at nunc commodo placerat praesent blandit nam nulla integer
Lansdowne,Almora,29.7,77.735,1,18.0,Trek,May,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
Nainital,Rudraprayag,31.3534,78.4833,3,26.4,Lake,February,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
Lansdowne,Haridwar,30.3295,77.6553,3,24.2,Trek,February,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie
Jim Corbett National Park,Pauri Garhwal,31.0595,79.788,5,13.0,Adventure Spot,July,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla
Jim Corbett National Park,Haridwar,30.6474,78.9951,1,8.6,Trek,December,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Rishikesh,Pauri Garhwal,31.1049,77.9708,4,19.9,Wildlife Sanctuary,November,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis
Auli,Rudraprayag,29.8254,79.1971,2,13.9,Temple,January,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin
Lansdowne,Nainital,29.1504,79.9621,1,28.7,Lake,June,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
Chopta,Dehradun,29.5354,79.0076,1,17.3,Adventure Spot,January,cursus vestibulum proin eu mi nulla ac enim in tempor turpis
Lansdowne,Uttarkashi,30.1603,77.7796,3,12.2,Adventure Spot,June,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
Auli,Chamoli,30.1073,78.5528,2,27.4,Trek,November,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
Nainital,Bageshwar,31.0,79.2156,5,10.7,Temple,October,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
Ranikhet,Bageshwar,29.376,80.2794,3,0.8,Lake,June,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
Lansdowne,Uttarkashi,29.4246,78.7137,5,11.7,Lake,February,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
Jim Corbett National Park,Almora,29.7354,79.1682,4,26.5,Adventure Spot,October,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
Almora,Pauri Garhwal,29.04,79.618,5,14.0,Lake,December,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
Ranikhet,Tehri Garhwal,30.7012,80.221,3,24.3,Hill Station,December,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
Nainital,Almora,30.0502,79.8192,1,15.4,Temple,June,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus
Auli,Nainital,30.9825,78.185,1,8.3,Temple,January,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla
Rishikesh,Nainital,29.5809,80.0041,3,26.6,Hill Station,March,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem
Jim Corbett National Park,Almora,29.0155,79.8569,4,26.5,Wildlife Sanctuary,February,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
Auli,Tehri Garhwal,29.7049,80.0064,2,11.4,Hill Station,August,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
Jim Corbett National Park,Bageshwar,29.3578,77.5333,1,11.1,Hill Station,September,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam
Chopta,Pauri Garhwal,29.9886,79.2622,4,18.7,Trek,November,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
Auli,Haridwar,30.6881,77.995,1,19.8,Wildlife Sanctuary,August,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
Mussoorie,Pauri Garhwal,29.9308,80.2237,1,13.5,Temple,October,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
Almora,Bageshwar,29.4606,78.1186,4,6.2,Adventure Spot,January,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec
Chopta,Almora,30.2921,78.4016,3,5.3,Temple,August,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet
Haridwar,Nainital,31.3173,78.487,1,14.9,Wildlife Sanctuary,March,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
Mussoorie,Bageshwar,30.8755,78.9214,1,19.0,Trek,August,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna
Rishikesh,Bageshwar,30.4831,79.0826,5,27.8,Temple,March,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis
Almora,Haridwar,30.9677,78.4228,3,26.4,Lake,April,sit amet lobortis sapien sapien non mi integer ac neque duis
Nainital,Pauri Garhwal,29.3176,78.7749,2,26.7,Trek,February,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla
Haridwar,Bageshwar,29.2657,80.4379,2,24.9,Lake,September,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
Chopta,Dehradun,29.0866,78.1462,4,14.4,Wildlife Sanctuary,January,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
Chopta,Dehradun,29.7486,77.5543,5,3.6,Hill Station,August,suspendisse potenti in eleifend quam a odio in hac habitasse platea
Chopta,Bageshwar,30.4475,80.4965,1,17.5,Temple,August,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget
Auli,Haridwar,29.0772,79.5189,4,24.2,Temple,December,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
Ranikhet,Chamoli,31.0555,77.559,3,7.6,Adventure Spot,February,sit amet turpis elementum ligula vehicula consequat morbi a ipsum
Rishikesh,Almora,30.7644,78.5885,1,3.2,Temple,March,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
Mussoorie,Tehri Garhwal,30.4525,77.871,1,13.6,Wildlife Sanctuary,March,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
Almora,Dehradun,29.2199,80.1283,2,4.6,Wildlife Sanctuary,September,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
Auli,Bageshwar,29.1938,78.9356,4,8.2,Trek,August,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
Ranikhet,Tehri Garhwal,29.6271,77.5964,5,24.2,Lake,February,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue
Jim Corbett National Park,Almora,31.3357,79.9928,5,26.5,Hill Station,December,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
Almora,Pauri Garhwal,31.2725,77.6579,3,2.7,Hill Station,January,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
Almora,Dehradun,31.0863,78.6093,1,3.2,Hill Station,October,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam
Lansdowne,Haridwar,29.2575,80.2389,3,15.0,Trek,June,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
Mussoorie,Tehri Garhwal,29.1357,78.766,2,13.3,Temple,September,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
Lansdowne,Nainital,30.0792,78.5095,4,8.6,Adventure Spot,August,nulla nunc purus phasellus in felis donec semper sapien a libero nam
Auli,Almora,30.3275,79.7561,4,9.2,Adventure Spot,October,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum
Almora,Almora,31.4004,78.4042,4,24.8,Temple,January,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
Rishikesh,Almora,30.9466,79.268,1,1.7,Temple,September,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in
Rishikesh,Nainital,30.1223,78.3902,5,17.1,Wildlife Sanctuary,November,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
Almora,Haridwar,31.2509,80.4349,2,14.4,Adventure Spot,October,eget rutrum at lorem integer tincidunt ante vel ipsum praesent
Lansdowne,Uttarkashi,29.8762,78.6622,2,14.6,Trek,May,erat quisque erat eros viverra eget congue eget semper rutrum
Lansdowne,Nainital,29.7848,78.5598,5,23.7,Trek,May,morbi non lectus aliquam sit amet diam in magna bibendum
Ranikhet,Bageshwar,29.8185,79.061,3,6.5,Lake,May,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis
Jim Corbett National Park,Pauri Garhwal,29.8847,77.9014,3,21.5,Adventure Spot,February,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
Ranikhet,Bageshwar,31.2729,79.3249,4,8.7,Hill Station,February,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
Haridwar,Tehri Garhwal,30.1666,79.4756,3,0.7,Trek,December,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
